"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jun 08 17:03:03 EET 2023","Thu Jun 08 17:03:08 EET 2023","4734","Suite","Test","com.Bayt.HomeTest.PeopleWhoFoundJobsTest","com.Bayt.HomeTest.PeopleWhoFoundJobsTest","FindJobsTest","FindJobsTest",""
"passed","Thu Jun 08 16:56:54 EET 2023","Thu Jun 08 16:57:04 EET 2023","10471","Suite","Test","com.Bayt.HomeTest.HowDoesBaytWorkTest","com.Bayt.HomeTest.HowDoesBaytWorkTest","FindJobsTest","FindJobsTest",""
"passed","Thu Jun 08 16:58:03 EET 2023","Thu Jun 08 16:58:16 EET 2023","12495","Suite","Test","com.Bayt.FindJopsTest.ExecutiveJobsTest","com.Bayt.FindJopsTest.ExecutiveJobsTest","Footer","Footer",""
"passed","Thu Jun 08 16:57:37 EET 2023","Thu Jun 08 16:57:40 EET 2023","2852","Suite","Test","com.Bayt.HomeTest.SearchJobsTest","com.Bayt.HomeTest.SearchJobsTest","SearchJobs","SearchJobs",""
"passed","Thu Jun 08 16:58:23 EET 2023","Thu Jun 08 16:59:54 EET 2023","90796","Suite","Test","com.Bayt.RegisterTest.ApplyTest","com.Bayt.RegisterTest.ApplyTest","EasyApply","EasyApply",""
"passed","Thu Jun 08 16:57:10 EET 2023","Thu Jun 08 16:57:17 EET 2023","7340","Suite","Test","com.Bayt.HomeTest.FindJobsinJordanTest","com.Bayt.HomeTest.FindJobsinJordanTest","FindJobsTest","FindJobsTest",""
"passed","Thu Jun 08 17:02:29 EET 2023","Thu Jun 08 17:02:58 EET 2023","29167","Suite","Test","com.Bayt.HomeTest.HomeHeaderAsGestTest","com.Bayt.HomeTest.HomeHeaderAsGestTest","HeaderLinks","HeaderLinks",""
"passed","Thu Jun 08 16:57:46 EET 2023","Thu Jun 08 16:57:55 EET 2023","8630","Suite","Test","com.Bayt.RegisterTest.CheekEmailRlreadyTest","com.Bayt.RegisterTest.CheekEmailRlreadyTest","EasyApply","EasyApply",""
"passed","Thu Jun 08 16:57:22 EET 2023","Thu Jun 08 16:57:31 EET 2023","9253","Suite","Test","com.Bayt.LoginTest.LoginTest","com.Bayt.LoginTest.LoginTest","Logintest","Logintest",""
"passed","Thu Jun 08 17:00:00 EET 2023","Thu Jun 08 17:02:24 EET 2023","143595","Suite","Test","com.Bayt.HomeTest.FooterTest","com.Bayt.HomeTest.FooterTest","Footer","Footer",""
